idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_pinn,lt_pred_um__wtlt_big_pinn,wt_abs_err_um__wtlt_big_pinn,lt_abs_err_um__wtlt_big_pinn,wt_pct_err__wtlt_big_pinn,lt_pct_err__wtlt_big_pinn,wt_pred_um__wtlt_big_data,lt_pred_um__wtlt_big_data,wt_abs_err_um__wtlt_big_data,lt_abs_err_um__wtlt_big_data,wt_pct_err__wtlt_big_data,lt_pct_err__wtlt_big_data,wt_pred_um__wtlt_small_pinn,lt_pred_um__wtlt_small_pinn,wt_abs_err_um__wtlt_small_pinn,lt_abs_err_um__wtlt_small_pinn,wt_pct_err__wtlt_small_pinn,lt_pct_err__wtlt_small_pinn,wt_pred_um__wtlt_small_data,lt_pred_um__wtlt_small_data,wt_abs_err_um__wtlt_small_data,lt_abs_err_um__wtlt_small_data,wt_pct_err__wtlt_small_data,lt_pct_err__wtlt_small_data
156,13.0,550.0,10.035085,433.14883,2.9649153,116.851166,22.807041,21.245667,10.183129,432.7812,2.8168707,117.21881,21.668236,21.312511,14.3529005,613.67316,1.3529005,63.673157,10.406927,11.576938,14.3610525,610.67676,1.3610525,60.676758,10.469635,11.032138
157,13.0,600.0,12.335182,568.7686,0.6648178,31.231384,5.113983,5.2052307,12.41561,560.94666,0.5843897,39.053345,4.495305,6.5088906,14.202501,656.5208,1.2025013,56.520813,9.25001,9.4201355,14.216212,655.40924,1.2162123,55.40924,9.355478,9.234873
158,13.0,650.0,13.713666,677.62286,0.71366596,27.622864,5.4897385,4.2496715,13.899125,676.12354,0.8991251,26.123535,6.916347,4.0190053,13.944264,688.76996,0.9442644,38.76996,7.2635727,5.9646087,13.954274,689.2847,0.9542742,39.28473,7.3405704,6.0438046
159,13.0,700.00006,14.533134,764.97034,1.5331345,64.970276,11.793343,9.2814665,14.595354,762.2188,1.5953541,62.21875,12.271955,8.888392,13.5822315,712.6672,0.5822315,12.667114,4.478704,1.8095875,13.581322,714.3394,0.5813217,14.339355,4.4717054,2.0484793
160,13.0,750.0,14.896803,832.48535,1.8968029,82.48535,14.590791,10.998047,15.078445,830.44867,2.0784454,80.44867,15.988042,10.726489,13.117688,730.04443,0.11768818,19.955566,0.9052937,2.6607423,13.102215,732.4076,0.10221481,17.592407,0.78626776,2.3456545
161,13.0,800.0,15.211206,888.303,2.2112064,88.30298,17.009281,11.037872,15.197674,880.9984,2.1976738,80.99841,16.905182,10.124802,12.553873,742.2564,0.44612694,57.74359,3.4317455,7.217949,12.524751,744.9253,0.4752493,55.074707,3.6557636,6.884339
162,13.0,849.99994,15.242493,943.0207,2.2424927,93.02075,17.249943,10.943619,15.032977,935.97766,2.032977,85.97772,15.638286,10.115026,11.901246,750.2969,1.0987539,99.703064,8.451954,11.7297735,11.8641615,752.98914,1.1358385,97.0108,8.737219,11.413036
163,13.0,900.0,14.917591,975.156,1.9175911,75.156006,14.750701,8.350667,14.909073,974.3655,1.9090729,74.36548,14.685176,8.262831,11.182079,754.95154,1.8179207,145.04846,13.984005,16.116495,11.146287,757.4863,1.853713,142.51367,14.259331,15.834853
164,13.0,950.0,14.555048,984.71295,1.555048,34.71295,11.961908,3.653995,14.642908,985.8877,1.6429081,35.887695,12.637755,3.7776523,10.431686,756.94226,2.5683136,193.05774,19.75626,20.321867,10.407172,759.21906,2.5928278,190.78094,19.944828,20.082205
165,13.0,1000.00006,14.218589,988.6363,1.2185888,11.36377,9.37376,1.1363769,14.215859,989.4849,1.2158594,10.515137,9.352764,1.0515136,9.693824,757.0318,3.3061762,242.96826,25.432125,24.296825,9.687784,758.98987,3.3122158,241.0102,25.478584,24.101017
166,14.0,200.0,13.530841,176.05608,0.46915913,23.943924,3.3511367,11.971962,14.015507,194.44902,0.015506744,5.5509796,0.11076246,2.7754898,15.105048,240.70517,1.1050482,40.70517,7.893201,20.352585,15.147892,238.23717,1.147892,38.237167,8.199228,19.118584
167,14.0,250.00002,5.3972116,146.17047,8.602789,103.829544,61.44849,41.531815,5.026334,111.22284,8.973666,138.77718,64.09761,55.510868,12.609893,213.38226,1.3901072,36.617752,9.929337,14.6470995,12.573116,215.43939,1.4268837,34.560623,10.192026,13.824248
168,14.0,300.0,5.0955563,129.95775,8.904444,170.04225,63.60317,56.68075,5.0237527,110.29801,8.976248,189.702,64.11606,63.234,12.92218,252.33429,1.0778198,47.66571,7.6987133,15.88857,12.898066,257.20297,1.1019344,42.797028,7.87096,14.265676
169,14.0,350.00003,5.0377316,122.36777,8.962269,227.63226,64.016205,65.03778,5.02803,111.953705,8.97197,238.04633,64.085495,68.01323,13.388325,305.40903,0.61167526,44.591003,4.369109,12.740286,13.358343,309.36194,0.6416569,40.638092,4.5832634,11.610883
170,14.0,400.0,5.0275135,119.80727,8.9724865,280.19275,64.08919,70.04819,5.021366,112.440735,8.978634,287.55927,64.1331,71.88982,13.830474,371.93613,0.1695261,28.063873,1.2109007,7.0159683,13.793323,372.2784,0.20667744,27.721588,1.4762675,6.9303966
171,14.0,450.0,5.0316257,119.982315,8.968374,330.0177,64.059814,73.337265,5.0214295,113.256386,8.978571,336.74362,64.13265,74.83192,14.158995,445.08093,0.15899467,4.9190674,1.1356763,1.093126,14.12644,441.8625,0.12644005,8.137512,0.90314317,1.808336
172,14.0,500.00003,5.0852575,132.27907,8.914742,367.72095,63.67673,73.54419,5.071121,125.91436,8.928879,374.08566,63.777702,74.81712,14.349199,515.3349,0.3491993,15.334869,2.4942806,3.0669737,14.331883,510.60562,0.33188343,10.605591,2.370596,2.121118
173,14.0,550.0,8.088724,335.86853,5.911276,214.13147,42.2234,38.932995,8.066701,338.3056,5.933299,211.6944,42.380707,38.48989,14.409487,576.0461,0.40948677,26.046082,2.9249055,4.735651,14.409408,571.8699,0.40940762,21.869873,2.92434,3.9763405
174,14.0,600.0,11.6141,502.52567,2.3858995,97.474335,17.04214,16.245724,11.627532,496.52567,2.372468,103.474335,16.9462,17.245722,14.356603,625.0966,0.35660267,25.096619,2.5471618,4.18277,14.368662,622.5259,0.36866188,22.525879,2.633299,3.7543132
175,14.0,650.0,13.474706,625.14215,0.5252943,24.85785,3.7521024,3.8242843,13.442715,612.8071,0.5572853,37.19287,3.9806094,5.72198,14.204075,663.2986,0.20407486,13.298584,1.4576776,2.0459359,14.220184,662.4991,0.22018433,12.499084,1.5727451,1.922936
