idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_泛化_test_2,lt_pred_um__wtlt_big_泛化_test_2,wt_abs_err_um__wtlt_big_泛化_test_2,lt_abs_err_um__wtlt_big_泛化_test_2,wt_pct_err__wtlt_big_泛化_test_2,lt_pct_err__wtlt_big_泛化_test_2,wt_pred_um__wtlt_big_泛化_test_data,lt_pred_um__wtlt_big_泛化_test_data,wt_abs_err_um__wtlt_big_泛化_test_data,lt_abs_err_um__wtlt_big_泛化_test_data,wt_pct_err__wtlt_big_泛化_test_data,lt_pct_err__wtlt_big_泛化_test_data
920,7.5918374,452.20334,0.698551,68.30544,6.893286,383.8979,90.79865,84.894966,0.8685218,51.431664,6.7233157,400.77167,88.55979,88.62643
921,7.5918374,468.81354,0.74336016,74.158646,6.8484774,394.6549,90.20843,84.18163,0.899868,54.60539,6.6919694,414.20816,88.146904,88.35243
922,7.5918374,485.42383,0.94193405,93.583145,6.6499033,391.8407,87.592804,80.72135,1.1126226,63.428802,6.4792147,421.99503,85.34449,86.93331
923,7.5918374,502.03384,1.7732333,151.44676,5.818604,350.5871,76.6429,69.83336,2.033437,108.06744,5.5584,393.9664,73.21548,78.474075
924,7.5918374,518.64404,3.6353927,259.94217,3.9564447,258.70187,52.114456,49.88043,4.2421126,226.80571,3.3497248,291.83832,44.122715,56.269485
925,7.5918374,535.25433,5.9769897,388.50055,1.6148477,146.75378,21.270842,27.41758,6.712306,365.40704,0.8795314,169.84729,11.585224,31.73207
926,7.5918374,551.8645,7.9979043,500.07254,0.4060669,51.79196,5.34873,9.384906,8.657245,479.27274,1.0654073,72.59177,14.033588,13.153911
927,7.5918374,568.47455,9.50475,584.8244,1.9129128,16.349854,25.19697,2.8760924,10.092967,566.6567,2.5011296,1.8178711,32.944984,0.31978056
928,7.5918374,585.08466,10.818795,661.21344,3.2269578,76.128784,42.505623,13.011585,11.216178,637.8695,3.6243405,52.78485,47.739964,9.021746
929,7.5918374,601.695,11.874912,726.951,4.283075,125.25598,56.41684,20.817188,12.177046,701.3778,4.5852084,99.6828,60.396557,16.566998
930,7.5918374,618.30505,12.593249,777.05035,5.001412,158.7453,65.87881,25.674269,13.005142,758.17645,5.413305,139.8714,71.30428,22.621746
931,7.5918374,634.91534,13.071476,815.29724,5.4796386,180.3819,72.17803,28.410383,13.676696,805.93243,6.0848584,171.01709,80.15001,26.935417
932,7.5918374,651.5253,13.600097,859.1748,6.0082593,207.64948,79.141045,31.871283,14.218061,846.6002,6.626224,195.07489,87.2809,29.941261
933,7.5918374,668.13574,14.221262,910.3711,6.6294246,242.23535,87.32306,36.25541,14.673278,883.99884,7.0814404,215.8631,93.27703,32.30827
934,7.5918374,684.74567,14.701467,952.03296,7.109629,267.2873,93.64833,39.03454,15.036294,917.74884,7.4444566,233.00317,98.05869,34.027695
935,7.5918374,701.3561,14.944115,977.3518,7.3522773,275.99573,96.844505,39.351727,15.283503,945.45154,7.691665,244.09546,101.31494,34.803356
936,7.5918374,717.966,15.022827,991.6561,7.4309897,273.69012,97.8813,38.12021,15.418066,966.46844,7.8262286,248.50244,103.08741,34.612007
937,7.5918374,734.5762,15.015186,1000.4241,7.423349,265.8479,97.78066,36.19065,15.464242,981.932,7.8724046,247.35583,103.69564,33.67327
938,7.5918374,751.1866,14.96387,1006.69385,7.3720326,255.50726,97.10472,34.013824,15.4488125,993.5015,7.856975,242.31494,103.4924,32.25762
939,7.5918374,767.79645,14.888788,1012.0324,7.296951,244.23596,96.115746,31.809988,15.392855,1002.6615,7.8010173,234.86505,102.75533,30.589495
940,7.5918374,784.407,14.798728,1017.2897,7.2068906,232.88269,94.92947,29.689014,15.311531,1010.5409,7.7196937,226.13391,101.68413,28.828644
941,7.5918374,801.0169,14.698267,1022.8674,7.1064296,221.85046,93.606186,27.696102,15.215169,1017.89185,7.6233315,216.87494,100.41483,27.074951
